date,sales,expenses,marketing_spend,employee_count,seasonality,competition_level,customer_satisfaction,market_growth,profit
2021-01-01,20496.40447728799,11960.253548885601,2757.262137228993,3.0,0.0,3,5.0,0.8,3378.8887911733955
2021-01-02,19341.993165913722,11532.936564190473,3260.498088150917,5.0,0.017213356155834685,2,3.1241884285302906,0.8005005005005006,548.5585135723322
2021-01-03,18738.88924825708,10847.123588454268,1599.3885117400698,5.0,0.03442161162274574,3,3.6270048407500344,0.801001001001001,2292.377148062744
2021-01-04,18444.91976227986,10912.971092548396,2587.1693025035706,4.0,0.051619667223253764,3,4.424805335560902,0.8015015015015016,1744.779367227893
2021-01-05,19122.47560710473,10526.678030785946,,5.0,0.06880242680231986,4,3.0132048770150384,0.802002002002002,2737.888189252125
2021-01-06,18730.88297885569,11345.176640999882,1515.2779853812046,6.0,0.08596479873744647,5,2.693705669422296,0.8025025025025025,1070.4283524746043
2021-01-07,20999.5492588739,12600.332293005453,1158.0732555275067,5.0,0.10310169744743485,3,3.7029898374198664,0.8030030030030031,3241.1437103409407
2021-01-08,20025.42771864144,11606.71231565077,1009.2527560198158,3.0,0.1202080448993527,1,2.065538881670088,0.8035035035035035,5009.462646970855
2021-01-09,19722.697992682944,12163.241629825969,2301.6672387258386,6.0,0.13727877211326478,3,3.2696751385056637,0.8040040040040041,457.7891241311372
2021-01-10,18220.24780564689,11400.933752201412,1808.9983718024655,3.0,0.15430882066428117,3,3.6960309314523245,0.8045045045045045,2610.315681643013
2021-01-11,20259.376516886092,11351.845977947169,1173.8799070779928,3.0,0.1712931441814776,2,3.2840384825398687,0.805005005005005,5333.65063186093
2021-01-12,18642.649887866282,10804.227543436662,1771.9721925330532,7.0,0.1882267098432442,4,2.2652392454514025,0.8055055055055056,466.45015189656715
2021-01-13,22089.94279396475,12869.394501485202,1246.4965102623273,6.0,0.2051044998686192,5,4.77534236496321,0.806006006006006,3174.0517822172214
2021-01-14,16283.540798334088,9300.17292844602,1274.684732393661,5.0,0.2219215130041655,5,3.5828305231593403,0.8065065065065066,1708.6831374944077
2021-01-15,20136.225932951493,12496.47298073677,1364.937337615017,3.0,0.2386727660059501,2,4.644921694209393,0.807007007007007,3874.8156145997064
2021-01-16,18823.306247359964,11197.070679029575,2539.201641630183,4.0,0.255353295116187,4,3.291970999855644,0.8075075075075075,1887.0339267002055
2021-01-17,17252.70679513733,10219.366656427092,2010.7221080697143,5.0,0.2719581575341055,4,2.795990414647389,0.8080080080080081,1022.6180306405222
2021-01-18,18629.254651874802,10175.621608921505,1974.8152843426724,3.0,0.288482432880609,3,3.715344736204128,0.8085085085085085,4078.817758610625
2021-01-19,17960.07570351267,11093.754437212214,1538.491685990979,4.0,0.30492122465628907,3,3.3273702989374243,0.8090090090090091,2127.829580309477
2021-01-20,18736.481209878002,10622.259528500064,1025.5822780311505,7.0,0.3212696616923644,4,2.5577908336069135,0.8095095095095095,1488.6394033467877
2021-01-21,21249.62122625311,12779.739050885031,2971.0865852731445,8.0,0.3375228995941133,3,4.675827407029996,0.81001001001001,-901.2044099050636
2021-01-22,18314.151614526312,11127.179437694882,1759.9800548770581,5.0,0.3536761221763716,3,3.0021838216848034,0.8105105105105106,1426.9921219543721
2021-01-23,19434.97261233919,12341.312865322838,1079.8961484010367,7.0,0.3697245428906731,3,2.027786892163545,0.811011011011011,413.76359861531364
2021-01-24,21552.919530000174,12277.341518440548,1386.2315411252694,3.0,0.38566340624360707,3,4.562532843165866,0.8115115115115116,5489.346470434357
2021-01-25,21696.608879485175,11508.209249780692,1840.4467838090295,7.0,0.401487989205973,2,3.0965615873499015,0.812012012012012,2747.9528458954537
2021-01-26,20345.154734466243,12299.017613056592,,4.0,0.4171936026123168,5,3.0137408859075006,0.8125125125125126,2818.6730561641216
2021-01-27,18798.901497330116,12179.596489153497,2141.411554291131,6.0,0.4327755925504312,4,2.087689930376021,0.8130130130130131,-322.10654611451173
2021-01-28,20203.671808353538,12741.676261481842,919.235056087727,5.0,0.4482293417404106,3,4.892753189277593,0.8135135135135135,2542.7604907839695
2021-01-29,20222.809212261527,12238.51523499423,1666.7666876224425,8.0,0.4635502709028509,1,2.46841553023225,0.8140140140140141,-82.47271035514495
2021-01-30,18075.06407912154,10599.2203546569,2327.8330733169323,4.0,0.47873384011578846,3,3.54675958456452,0.8145145145145145,1948.0106511477088
2021-01-31,19034.316974981815,11824.151483307744,2400.1232281722096,7.0,0.49377555015997715,2,4.2300962580323525,0.815015015015015,-789.9577364981378
